"V1"	"SMGC_103.fa"	"SMGC_121.fa"	"SMGC_122.fa"	"SMGC_123.fa"	"SMGC_134.fa"	"SMGC_143.fa"	"SMGC_147.fa"	"SMGC_159.fa"	"SMGC_170.fa"	"SMGC_182.fa"	"SMGC_184.fa"	"SMGC_19.fa"	"SMGC_20.fa"	"SMGC_200.fa"	"SMGC_203.fa"	"SMGC_204.fa"	"SMGC_209.fa"	"SMGC_212.fa"	"SMGC_213.fa"	"SMGC_218.fa"	"SMGC_219.fa"	"SMGC_221.fa"	"SMGC_226.fa"	"SMGC_23.fa"	"SMGC_239.fa"	"SMGC_24.fa"	"SMGC_241.fa"	"SMGC_244.fa"	"SMGC_256.fa"	"SMGC_258.fa"	"SMGC_262.fa"	"SMGC_265.fa"	"SMGC_271.fa"	"SMGC_275.fa"	"SMGC_28.fa"	"SMGC_286.fa"	"SMGC_297.fa"	"SMGC_299.fa"	"SMGC_301.fa"	"SMGC_302.fa"	"SMGC_303.fa"	"SMGC_304.fa"	"SMGC_305.fa"	"SMGC_314.fa"	"SMGC_316.fa"	"SMGC_324.fa"	"SMGC_326.fa"	"SMGC_329.fa"	"SMGC_33.fa"	"SMGC_336.fa"	"SMGC_337.fa"	"SMGC_338.fa"	"SMGC_340.fa"	"SMGC_343.fa"	"SMGC_345.fa"	"SMGC_35.fa"	"SMGC_357.fa"	"SMGC_36.fa"	"SMGC_362.fa"	"SMGC_37.fa"	"SMGC_375.fa"	"SMGC_38.fa"	"SMGC_383.fa"	"SMGC_384.fa"	"SMGC_385.fa"	"SMGC_390.fa"	"SMGC_392.fa"	"SMGC_395.fa"	"SMGC_416.fa"	"SMGC_418.fa"	"SMGC_434.fa"	"SMGC_436.fa"	"SMGC_45.fa"	"SMGC_464.fa"	"SMGC_469.fa"	"SMGC_473.fa"	"SMGC_481.fa"	"SMGC_485.fa"	"SMGC_490.fa"	"SMGC_506.fa"	"SMGC_507.fa"	"SMGC_51.fa"	"SMGC_512.fa"	"SMGC_515.fa"	"SMGC_523.fa"	"SMGC_528.fa"	"SMGC_53.fa"	"SMGC_531.fa"	"SMGC_538.fa"	"SMGC_539.fa"	"SMGC_540.fa"	"SMGC_541.fa"	"SMGC_544.fa"	"SMGC_545.fa"	"SMGC_55.fa"	"SMGC_56.fa"	"SMGC_573.fa"	"SMGC_590.fa"	"SMGC_601.fa"	"SMGC_611.fa"	"SMGC_617.fa"	"SMGC_619.fa"	"SMGC_62.fa"	"SMGC_66.fa"	"SMGC_7.fa"	"SMGC_70.fa"	"SMGC_75.fa"	"SMGC_76.fa"	"SMGC_77.fa"	"SMGC_79.fa"	"SMGC_84.fa"	"SMGC_85.fa"	"SMGC_88.fa"	"SMGC_90.fa"	"SMGC_92.fa"	"SMGC_94.fa"	"SMGC_96.fa"	"SMGC_97.fa"
"SMGC_184.fa"	1	1	1	1	1	0.234932	1	0.228261	1	0.238839	0	0.236004	1	1	1	1	1	1	1	1	1	0.228647	0.234271	1	1	1	1	1	0.236338	1	1	1	0.235514	1	1	1	1	0.227802	1	0.234798	0.234031	1	1	0.227038	0.228659	1	0.228733	0.232371	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.237404	1	1	1	1	1	1	1	0.235115	1	0.201653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.234994	1	0.237126	1	0.232844	1	1	1	1	0.245826	0.233234	1	1	0.237784	0.235973	0.238166	0.236556	1	1	1	1	1	1	0.23422	0.226994
"SMGC_19.fa"	1	1	0.230947	1	1	1	1	0.235083	1	0.222582	0.233442	0	1	1	1	1	1	0.234366	0.234301	1	1	0.235309	0.241607	0.237467	1	1	1	1	0.219241	1	0.226735	1	0.217245	0.225043	1	1	1	0.230411	0.239637	0.234944	0.233457	0.231897	0.229366	0.235799	0.234618	1	0.237533	0.237447	0.23501	1	0.232274	0.23558	1	0.230754	1	0.236317	1	1	0.241528	1	1	0.235893	1	1	1	1	0.240653	0.233872	1	1	1	1	1	1	0.238802	1	0.240744	1	1	1	0.228684	0.229224	1	1	1	1	1	0.230043	1	1	1	1	1	0.236167	1	0.218736	1	0.238667	1	1	0.234652	1	0.238319	0.233578	0.223776	1	0.218515	0.218808	0.22894	0.222055	0.235107	0.228246	0.229867	0.234277	0.230959	1	0.236631	0.237354
"SMGC_20.fa"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.193979	0.20622	1	1	1	1	1	1	1	0.186435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.199989	1	1	1	1	1	1	1	1	1	1	1	1	1	0.229683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_200.fa"	1	0.209499	1	1	1	1	0.081421	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.057329	1	1	1	1	1	1	1	1	1	1	1	1	0.220664	1	1	1	1	1	1	1	1	1	1	0.145146	1	1	1	1	1	1	1	1	1	0.099806	1	1	1	1	1	1	0.216024	0.0727410000000001	1	1	0.072797	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_203.fa"	1	1	1	0.0829850000000001	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_204.fa"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_209.fa"	1	1	1	1	1	1	1	0.248593	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0.23275	1	1	1	1	0.241099	1	1	1	1	1	1	0.237426	1	1	1	1	1	1	0.251798	1	0.141702	1	1	1	1	1	1	1	1	1	1	1	1	1	0.239174	1	1	1	0.163147	1	0.240542	0.25099	1	1	1	1	1	1	1	1	1	1	1	1	0.24221	1	1	0.238407	1	1	0.23928	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_212.fa"	1	1	0.187612	1	1	1	1	1	1	0.224095	1	0.231839	1	1	1	1	1	0	0.065415	1	1	1	1	0.234068	1	1	1	1	0.228631	1	1	1	0.222841	0.212483	1	1	1	1	0.226317	1	1	0.214524	0.186574	1	1	1	1	1	1	1	0.189774	0.224506	1	0.189008	1	0.217973	1	1	0.225155	1	1	0.187445	1	1	1	1	0.24104	0.226199	1	1	1	1	1	1	1	1	1	1	1	1	0.222044	0.227529	1	1	1	1	1	0.212354	1	1	1	1	1	1	1	0.224299	1	1	0.226014	1	0.230362	1	1	1	0.225305	1	0.224297	0.224843	0.206196	0.220161	0.054777	0.205881	0.206899	0.180401	0.183917	1	1	1
"SMGC_213.fa"	1	1	0.18793	1	1	1	1	1	1	0.221953	1	0.235116	1	1	1	1	1	0.0660160000000001	0	1	1	1	1	0.233875	1	1	1	1	0.229611	1	1	1	0.219393	0.211361	1	1	1	1	0.227995	1	1	0.216808	0.18682	1	1	1	1	1	1	1	0.192078	0.221811	1	0.189592	1	0.217476	1	1	0.22321	1	1	0.188726	1	1	1	1	1	0.224185	1	1	1	1	1	1	1	1	1	1	1	1	0.224078	0.226247	1	1	1	1	1	0.214689	1	1	1	1	1	1	1	0.222978	1	1	0.234526	1	0.225406	1	1	1	0.224785	1	0.216878	0.220999	0.205419	0.21999	0.0625060000000001	0.210163	0.207426	0.184162	0.184621	1	1	1
"SMGC_218.fa"	0.204811	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_219.fa"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_221.fa"	1	1	1	1	1	1	1	0.104908	1	0.234574	0.229045	0.238493	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0.23286	0.250655	1	1	0.230481	1	1	1	1	0.227412	1	0.226934	0.226507	1	1	0.222012	0.223548	1	0.226413	0.226242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.238365	1	1	1	1	1	1	1	0.155534	1	0.238964	1	1	1	0.238622	1	1	1	1	1	1	1	1	0.23959	1	1	1	0.230893	1	0.231551	1	0.2363	1	1	1	1	0.242626	0.212377	0.233892	1	0.231071	0.231826	0.234627	0.23278	1	1	1	1	1	1	0.214124	0.208237
"SMGC_226.fa"	1	1	1	1	1	0.197242	1	0.235723	1	1	0.231505	1	1	1	1	1	1	1	1	1	1	0.234019	0	1	1	1	1	1	1	1	1	1	1	1	0.187388	1	1	0.234469	1	1	1	1	1	0.237579	0.239291	1	0.236914	0.241637	1	1	1	1	1	1	0.182108	1	1	0.185577	1	1	1	1	1	1	1	1	0.241715	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.23807	1	1	1	1	1	1	1	1	1	0.238398	1	1	1	1	1	1	1	1	1	1	1	1	1	0.238043
"SMGC_23.fa"	1	1	0.235996	1	1	1	1	1	1	0.235009	1	0.235699	1	1	1	1	1	0.233955	0.236576	1	1	1	1	0	1	1	1	1	0.234831	1	1	1	0.230744	1	1	1	1	1	0.228316	1	1	0.224821	0.227529	1	1	1	1	1	1	1	0.231447	0.049448	1	0.231781	1	0.228792	1	1	1	1	1	0.226924	1	1	1	1	0.244183	1	1	1	1	1	1	1	1	1	1	1	1	1	0.225472	0.232645	1	1	1	1	1	0.231777	1	1	1	1	1	1	1	0.226872	1	1	1	1	0.229771	1	1	1	0.230969	1	0.229277	0.228476	0.227663	0.227888	0.230795	0.224576	0.219244	0.231493	0.232994	1	1	1
"SMGC_239.fa"	1	1	1	1	1	1	1	0.250581	1	1	1	1	1	1	1	1	0.233706	1	1	1	1	1	1	1	0	1	1	1	1	0.239891	1	1	1	1	1	1	0.239784	0.25018	1	1	1	1	1	1	1	0.23471	0.251084	1	1	1	1	1	1	1	1	1	1	1	1	0.239213	1	1	1	0.233091	1	0.241145	0.250707	1	1	1	1	1	1	1	1	1	1	1	1	0.24487	1	1	0.205344	1	1	0.238445	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_24.fa"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.229844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_241.fa"	1	1	1	1	1	1	1	1	1	1	1	1	0.197752	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.207426	1	1	1	1	1	1	1	0.186325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.204557	1	1	1	1	1	1	1	1	1	1	1	1	1	0.235008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_244.fa"	1	1	1	1	1	1	1	1	1	1	1	1	0.207267	1	1	1	1	1	1	1	1	1	1	1	1	1	0.207299	0	1	1	1	1	1	1	1	0.207897	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.203026	1	1	1	1	1	1	1	1	1	1	1	1	1	0.232873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_256.fa"	1	1	0.22717	1	1	1	1	0.228923	1	0.204062	0.239503	0.220334	1	1	1	1	1	0.230054	0.227712	1	1	0.233513	1	0.236953	1	1	1	1	0	1	0.209386	1	0.196064	0.222785	1	1	1	0.235089	0.230453	0.234695	0.23772	0.232998	0.227116	0.23813	0.233974	1	0.23629	0.233194	1	1	0.230402	0.230578	1	0.228105	1	0.231888	1	1	0.235699	1	1	0.228557	1	1	1	1	0.238559	0.218109	1	1	1	1	1	1	0.231576	1	1	1	1	1	0.224986	0.214604	1	1	0.228869	1	1	0.227005	1	1	1	1	1	0.238657	1	0.200378	1	1	1	1	0.230781	0.221968	0.237944	0.237359	0.209378	1	0.199933	0.196213	0.220681	0.200566	0.226904	0.225227	0.226018	0.22584	0.225076	1	0.239153	0.235627
"SMGC_258.fa"	1	1	1	1	1	1	1	0.250705	1	1	1	1	1	1	1	1	0.244438	1	1	1	1	1	1	1	0.239824	1	1	1	1	0	1	1	1	1	1	1	0.182085	1	1	1	1	1	1	0.250541	0.250251	0.237374	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205675	1	1	1	0.239325	1	0.244395	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.246974	1	1	0.198072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_262.fa"	1	1	1	1	1	1	1	1	1	0.16707	1	0.224966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.208582	1	0	1	0.082647	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.218605	1	1	1	1	1	1	1	1	1	1	1	1	1	0.190058	1	1	1	1	1	0.225031	1	1	1	1	1	1	1	0.0741970000000001	1	1	1	1	1	1	1	1	0.207943	1	0.066327	0.0861150000000001	0.227087	0.194013	1	1	1	1	1	1	1	1
"SMGC_265.fa"	1	1	1	1	1	1	1	1	0.048308	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_271.fa"	1	1	0.223057	1	1	1	1	0.231442	1	0.144733	0.237621	0.21901	1	1	1	1	1	0.222358	0.220988	1	1	0.23031	1	0.232157	1	1	1	1	0.195468	1	0.091002	1	0	0.222316	1	1	1	0.235168	0.228294	0.240532	0.239448	0.223596	0.22125	0.235256	0.235778	1	0.232091	0.24065	1	1	0.227082	0.225315	1	0.223806	1	0.225891	1	1	0.230483	1	1	0.224269	1	1	1	1	0.236926	0.211626	1	1	1	1	1	1	0.237304	1	1	1	1	1	0.220773	0.174627	1	1	0.22734	1	1	0.213724	1	1	1	1	1	0.238862	1	0.0652710000000001	1	1	1	1	0.23037	0.215687	0.238762	0.234303	0.20436	1	0.070048	0.0647920000000001	0.215389	0.183906	0.223426	0.216633	0.217194	0.218202	0.22057	1	0.233721	0.232399
"SMGC_275.fa"	1	1	0.205544	1	1	1	1	1	1	0.221706	1	0.225943	1	1	1	1	1	0.21114	0.212459	1	1	1	1	1	1	1	1	1	0.223563	1	1	1	0.217363	0	1	1	1	1	0.231313	1	1	0.228223	0.207495	1	1	1	1	1	1	1	0.210872	1	1	0.205799	1	0.0652360000000001	1	1	0.168744	1	1	0.206209	1	1	1	1	1	0.224422	1	1	1	1	1	1	1	1	1	1	1	1	0.224829	0.225808	1	1	1	1	1	0.166711	1	1	1	1	1	1	1	0.222309	1	1	0.0544110000000001	1	1	1	1	1	0.226817	1	0.220127	0.217987	0.155052	0.216439	0.21199	0.059354	0.204964	0.204282	0.201373	1	1	1
"SMGC_28.fa"	1	1	1	1	1	0.213885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.187808	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.140702	1	1	0.149134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_286.fa"	1	1	1	1	1	1	1	1	1	1	1	1	0.186099	1	1	1	1	1	1	1	1	1	1	1	1	1	0.185321	0.209334	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.204568	1	1	1	1	1	1	1	1	1	1	1	1	1	0.23521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_297.fa"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.239288	1	1	1	1	1	1	1	0.238629	1	1	1	1	0.184111	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.233558	1	1	1	1	1	1	1	1	1	1	1	1	1	0.204176	1	1	1	0.235168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.194416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
