Sample,Bacteria Single Cell # (A),Bead # (B),AccuCount Particle # for 30uL (C),Volume Sample Initial (D),Cells/uL  ((A/B)x(C/D))
8-UB,7889,3437,30000,300,229.53
8-UB-PMA,440,4296,30000,300,10.24
9-Abd,6369,3973,30000,300,160.31
9-Abd-PMA,602,4233,30000,300,14.22
9-AC,2101,3464,30000,300,60.65
9-AC-PMA,44,4319,30000,300,1.02
9-FA,2914,3850,30000,300,75.69
9-FA-PMA,26,4311,30000,300,0.6
9-FH,32315,631,30000,300,5121.24
9-FH-PMA,23959,732,30000,300,3273.09
9-PC,4189,3766,30000,300,111.23
9-PC-PMA,44,4242,30000,300,1.04
9-UB,56990,659,30000,300,8647.95
9-UB-PMA,41521,867,30000,300,4789.04
