species	total_length	completeness	draft_quality
Bacillus thuringiensis	5314794	99.07	high
Helicobacter pylori	1667867	99.36	high
Thermotoga maritima	1860725	100	high
Deinococcus radiodurans	3284156	98.72	high
Treponema pallidum	1138011	100	high
Aquifex aeolicus	1590791	98.98	high
Methanothermobacter thermautotrophicus	1751377	100	medium
Archaeoglobus fulgidus	2178400	100	medium
Borreliella burgdorferi	1521208	100	high
Chlamydia trachomatis	1042519	98.92	high
Chlamydia pneumoniae	1230230	99.49	high
Clostridium acetobutylicum	4132880	100	high
Neisseria meningitidis	2272360	99.75	high
Escherichia coli	5594477	99.97	high
Wigglesworthia glossinidia	703004	100	high
Lactobacillus salivarius	2133977	99.48	high
Dehalococcoides mccartyi	1395502	99.01	high
Yersinia pestis	4829855	99.82	high
Ralstonia solanacearum	5810922	99.94	high
Nitrosomonas europaea	2812094	99.97	high
Haloquadratum walsbyi	3179361	99.3	medium
Clostridioides difficile	4298133	99.51	high
Francisella tularensis	1895994	99.82	high
Helicobacter acinonychis	1557588	99.12	high
Yersinia enterocolitica	4683620	99.95	high
Alcanivorax borkumensis	3120143	100	high
Streptococcus uberis	1852352	100	high
Nostoc sp. PCC 7120	7211789	99.19	high
Synechocystis sp. PCC 6803	3947019	99.78	high
Vibrio vulnificus	5260086	100	high
Streptomyces avermitilis	9119895	99.89	high
Bacillus clausii	4303871	98.67	high
Onion yellows phytoplasma	853092	98.57	high
Staphylococcus haemolyticus	2697861	99.62	high
Symbiobacterium thermophilum	3566135	98.02	high
Bacteroides fragilis	5310990	99.26	high
Chlamydia felis	1173791	99.49	high
Thermococcus kodakarensis	2088737	100	medium
Magnetospirillum magneticum	4967148	99	high
Synechococcus elongatus	2696255	99.73	high
Sodalis glossinidius	4292502	100	high
Staphylococcus saprophyticus	2577899	99.44	high
Lactobacillus fermentum	2098685	99.18	high
Brevibacillus brevis	6296436	99.73	high
Finegoldia magna	1986740	99.39	high
Orientia tsutsugamushi	2008987	99.51	high
Kocuria rhizophila	2697540	98.68	high
Gemmatimonas aurantiaca	4636964	98.9	high
Nitratiruptor sp. SB155-2	1877931	98.78	high
Sulfurovum sp. NBC37-1	2562277	99.59	high
Calyptogena okutanii thioautotrophic gill symbiont	1022154	93.54	high
Bifidobacterium adolescentis	2089645	100	high
Porphyromonas gingivalis	2354886	99.92	high
Azorhizobium caulinodans	5369772	100	high
Pelotomaculum thermopropionicum	3025375	100	high
Macrococcus caseolyticus	2219737	96.13	high
Streptomyces griseus	8545929	99.84	high
Microcystis aeruginosa	5842795	99.89	high
Candidatus Azobacteroides pseudotrichonymphae	1224919	89.51	medium
Desulfovibrio magneticus	5315620	100	high
Hydrogenobacter thermophilus	1743135	98.78	high
Acetobacter pasteurianus	3340249	100	high
Deferribacter desulfuricans	2542933	96.55	high
Methanocella paludicola	2957635	100	medium
Rothia mucilaginosa	2264603	99.33	high
Bacteroides thetaiotaomicron	6293399	99.41	high
Pyrococcus horikoshii	1738505	100	high
Aeropyrum pernix	1669696	97.78	medium
Chlamydia pneumoniae	1226565	99.49	high
Thermoplasma volcanium	1584804	97.97	medium
Sulfolobus tokodaii	2694756	100	medium
Mycoplasma penetrans	1358633	98.33	high
Oceanobacillus iheyensis	3630528	99.33	high
Corynebacterium efficiens	3219505	99.89	high
Thermosynechococcus elongatus	2593857	99.76	high
Bradyrhizobium diazoefficiens	9105828	99.99	high
Gloeobacter violaceus	4659019	99.15	high
Francisella tularensis	1895727	99.82	high
Prochlorococcus marinus	1657990	99.46	high
Prochlorococcus marinus	2410873	99.46	high
Burkholderia pseudomallei	7247547	100	high
Candidatus Protochlamydia amoebophila	2414465	99.96	high
Bacillus licheniformis	4222597	98.82	high
Gluconobacter oxydans	2922384	100	high
Burkholderia mallei	5835527	99.95	high
Candidatus Blochmannia pennsylvanicus	791654	98.78	high
Aliivibrio fischeri	4273718	99.8	high
Dehalococcoides mccartyi	1469720	99.01	high
Anaplasma marginale	1197687	100	high
Ruegeria pomeroyi	4601048	99.36	high
Lactobacillus acidophilus	1993560	98.94	high
Shigella dysenteriae	4560911	99.9	high
Borrelia hermsii	1066225	100	high
Borrelia turicatae	917330	99.19	high
Rickettsia felis	1587240	100	high
Aster yellows witches'-broom phytoplasma	723970	97.14	high
Pseudomonas syringae	6093698	100	high
Sulfolobus acidocaldarius	2225959	99.4	medium
Psychrobacter arcticus	2650701	99.73	high
Colwellia psychrerythraea	5373180	100	high
Candidatus Pelagibacter ubique	1308759	100	high
Rickettsia bellii	1522076	100	high
Thermobifida fusca	3642249	100	high
Dechloromonas aromatica	4501104	99.61	high
Prochlorococcus marinus	1842899	99.45	high
Pelodictyon luteolum	2364842	98.91	high
Synechococcus sp. CC9902	2234828	99.46	high
Synechococcus elongatus	2742269	100	high
Methanosphaera stadtmanae	1767403	97.6	medium
Ehrlichia canis	1315030	99.57	high
Chlorobium chlorochromatii	2572079	98.9	high
Thiomicrospira crunogena	2427734	99.39	high
Prochlorococcus marinus	1709204	99.73	high
Desulfovibrio alaskensis	3730232	100	high
Myxococcus xanthus	9139763	99.35	high
Nitrobacter winogradskyi	3402093	99.8	high
Thiobacillus denitrificans	2909809	100	high
Nitrosococcus oceani	3522111	97.35	high
Bacteroides vulgatus	5163189	99.25	high
Parabacteroides distasonis	4811379	99.42	high
Carboxydothermus hydrogenoformans	2401520	100	high
Pelobacter carbinolicus	3665893	99.35	high
Rhodobacter sphaeroides	4602977	99.39	high
Geobacter metallireducens	4011182	99.42	high
Sulfurimonas denitrificans	2201561	99.59	high
Hahella chejuensis	7215267	99.86	high
Erythrobacter litoralis	3052398	99.59	high
Hyphomonas neptunium	3705021	99.68	high
Salinibacter ruber	3587328	96.51	high
Rhodospirillum rubrum	4406557	99.5	high
Moorella thermoacetica	2628784	99.23	high
Anaplasma phagocytophilum	1471282	99.57	high
Ehrlichia chaffeensis	1176248	100	high
Neorickettsia sennetsu	859006	99.28	high
Candidatus Baumannia cicadellinicola	686194	100	high
Synechococcus sp. JA-3-3Ab	2932766	100	high
Synechococcus sp. JA-2-3B'a(2-13)	3046682	100	high
Clostridium perfringens	3256683	99.19	high
Novosphingobium aromaticivorans	4233314	99.82	high
Frankia casuarinae	5433628	99.59	high
Rhodopseudomonas palustris	5331656	99.89	high
Syntrophus aciditrophicus	3179300	96.43	high
Methanospirillum hungatei	3544738	99.02	medium
Jannaschia sp. CCS1	4404049	99.39	high
Rhodoferax ferrireducens	4969784	99.8	high
Janthinobacterium sp. Marseille	4110251	99.82	high
Paraburkholderia xenovorans	9731138	100	high
Saccharophagus degradans	5057531	100	high
Methylobacillus flagellatus	2971517	99.36	high
Methanococcoides burtonii	2575032	99.35	medium
Rhodopseudomonas palustris	5513844	99.31	high
Shewanella denitrificans	4545906	96.01	high
Polaromonas sp. JS666	5898676	99.61	high
Nitrobacter hamburgensis	5011522	99.89	high
Leptospira borgpetersenii	3931782	97.22	medium
Sphingopyxis alaskensis	3373713	99.98	high
Candidatus Koribacter versatilis	5650368	99.95	high
Arcobacter butzleri	2341251	100	high
Roseobacter denitrificans	4331234	99.25	high
Clostridium novyi	2547720	100	high
Cytophaga hutchinsonii	4433218	100	high
Rubrobacter xylanophilus	3225748	98.25	high
Streptococcus sanguinis	2388435	100	high
Pseudoalteromonas atlantica	5187005	100	high
Chelativorans sp. BNC1	4935185	99.18	high
Trichodesmium erythraeum	7750108	99.71	high
Granulibacter bethesdensis	2708355	99.5	high
Rickettsia canadensis	1159772	99.53	high
Oenococcus oeni	1780517	98.66	high
Lactobacillus gasseri	1894360	98.45	high
Leuconostoc mesenteroides	2075763	100	high
Lactobacillus brevis	2340228	99.06	high
Pediococcus pentosaceus	1832387	99.38	high
Lactobacillus paracasei	2924325	99.46	high
Rhodococcus jostii	9702737	99.94	high
Synechococcus sp. CC9311	2606748	99.73	high
Francisella tularensis	1895727	99.82	high
Shewanella frigidimarina	4845257	99.84	high
Syntrophomonas wolfei	2936195	97.35	high
Maricaulis maris	3368780	99.51	high
Nitrosomonas eutropha	2781824	99.5	high
Alkalilimnicola ehrlichii	3275944	100	high
Aeromonas hydrophila	4744448	99.97	high
Rhodopseudomonas palustris	5505494	99.66	high
Magnetococcus marinus	4719581	98.32	high
Shewanella piezotolerans	5396476	99.84	high
Candidatus Solibacter usitatus	9965640	100	high
Paenarthrobacter aurescens	5226648	99.71	high
Methanosaeta thermophila	1879471	100	medium
Syntrophobacter fumaroxidans	4990251	99.84	medium
Mycobacterium smegmatis	6988209	99.84	high
Acidothermus cellulolyticus	2443540	98.75	high
Pelobacter propionicus	4241119	97.17	high
Candidatus Ruthia magnifica	1160782	94.16	high
Chlorobium phaeobacteroides	3133902	99.45	high
Hyperthermus butylicus	1667163	98.73	medium
Pyrobaculum islandicum	1826402	100	medium
Thermofilum pendens	1813393	98.53	medium
Shewanella amazonensis	4306142	100	high
Nocardioides sp. JS614	5293685	98.96	high
Psychromonas ingrahamii	4559598	100	high
Mycobacterium vanbaalenii	6491865	100	high
Dichelobacter nodosus	1389350	97.94	high
Mycobacterium sp. KMS	6256079	100	high
Bartonella bacilliformis	1445021	98.28	medium
Polaromonas naphthalenivorans	5366143	99.38	high
Verminephrobacter eiseniae	5597943	99.62	high
Halorhodospira halophila	2678452	98.91	high
Prochlorococcus marinus	1669886	99.64	high
Prochlorococcus marinus	1704176	100	high
Prochlorococcus marinus	1864731	99.73	high
Prochlorococcus marinus	2682675	100	high
Methylibium petroleiphilum	4643639	99.53	high
Geobacillus thermodenitrificans	3608012	99.44	high
Methanocorpusculum labreanum	1804962	99.54	high
Pyrobaculum calidifontis	2009313	100	medium
Methanoculleus marisnigri	2478101	99.35	high
Ruminiclostridium thermocellum	3843301	99.33	high
Actinobacillus pleuropneumoniae	2274482	99.89	high
Staphylothermus marinus	1570485	98.73	medium
Prochlorococcus marinus	1641879	99.46	high
Shewanella loihica	4602594	99.7	high
Chlorobium phaeovibrioides	1966858	98.36	high
Desulfotomaculum reducens	3608104	100	high
Rhodospirillum centenum	4355543	99.56	high
Agrobacterium vitis	6320946	99.67	high
Enterobacter sp. 638	4676461	99.7	high
Polynucleobacter asymbioticus	2159490	99.87	high
Pyrobaculum arsenaticum	2121076	100	medium
Rhodobacter sphaeroides	4557127	99.39	high
Salinispora tropica	5183331	99.49	high
Clostridium kluyveri	4023800	99.31	high
Methanobrevibacter smithii	1853160	100	medium
Caldicellulosiruptor saccharolyticus	2970275	99.5	high
Pseudomonas mendocina	5072807	99.94	high
Metallosphaera sedula	2191517	100	medium
Flavobacterium johnsoniae	6096872	99.65	high
Roseiflexus sp. RS-1	5801598	99.69	high
Dehalococcoides mccartyi	1341892	99.01	high
Geobacter uraniireducens	5136364	97.66	high
Sphingomonas wittichii	5915246	99.1	high
Thermotoga petrophila	1823511	100	high
Lactobacillus reuteri	1999618	98.9	high
Psychrobacter sp. PRwf-1	2995049	99.93	high
Thermosipho melanesiensis	1915238	98.28	high
Alkaliphilus metalliredigens	4929566	99.29	high
Streptococcus gordonii	2196662	100	high
Clostridium botulinum	3760560	99.31	high
Coxiella burnetii	2212937	100	high
Sinorhizobium medicae	6817576	99.16	high
Methanococcus vannielii	1720048	99.5	high
Methanococcus aeolicus	1569500	99.03	medium
Methanococcus maripaludis	1772694	99.5	medium
Actinobacillus succinogenes	2319663	100	high
Phenylobacterium zucineum	4379231	100	high
Kineococcus radiotolerans	4956672	99.19	high
Ochrobactrum anthropi	5205777	100	high
Bacillus cytotoxicus	4094159	98.85	high
Campylobacter curvus	1971270	99.88	high
Anaeromyxobacter sp. Fw109-5	5277990	99.35	high
Fervidobacterium nodosum	1948941	98.25	high
Parvibaculum lavamentivorans	3914745	100	high
Campylobacter hominis	1714951	99.88	high
Methanoregula boonei	2542943	99.54	medium
Xanthobacter autotrophicus	5625098	100	high
Leptospira biflexa	3951448	100	high
Vibrio campbellii	6058377	99.73	high
Francisella tularensis	1890909	99.82	high
Roseiflexus castenholzii	5723298	99.69	high
Cyanothece sp. ATCC 51142	5460377	99.96	high
Pseudothermotoga lettingae	2135342	100	high
Ignicoccus hospitalis	1297538	99.37	medium
Shewanella sediminis	5517674	99.84	high
Acaryochloris marina	8361599	99.53	medium
Dinoroseobacter shibae	4417868	99.09	high
Rickettsia akari	1231060	100	high
Rickettsia bellii	1528980	99.04	high
Salinispora arenicola	5786361	99.39	high
Shewanella pealeana	5174581	99.68	high
Caldivirga maquilingensis	2077567	99.26	medium
Alkaliphilus oremlandii	3123558	98.58	high
Thermococcus onnurineus	1847607	97.52	medium
Desulfococcus oleovorans	3944167	99.35	high
Candidatus Desulforudis audaxviator	2349476	98.09	high
Nitrosopumilus maritimus	1645259	100	medium
Methanococcus maripaludis	1744193	99.98	medium
Sinorhizobium fredii	6891900	100	high
Herpetosiphon aurantiacus	6785430	98.18	high
Petrotoga mobilis	2169548	96.55	high
Delftia acidovorans	6767514	99.85	high
Lachnoclostridium phytofermentans	4847594	99.11	high
Acholeplasma laidlawii	1496992	98.65	high
Chloroflexus aurantiacus	5258541	99.69	high
Renibacterium salmoninarum	3155250	99.02	high
Thermotoga neapolitana	1884562	100	high
Heliobacterium modesticaldum	3075407	100	high
Campylobacter lari	1571661	98.78	high
Cellvibrio japonicus	4576573	100	high
Francisella philomiragia	2049711	99.82	high
Methylobacterium sp. 4-46	7737025	99.69	high
Histophilus somni	2263857	99.84	high
Synechococcus sp. PCC 7002	3409935	100	high
Shewanella woodyi	5935403	99.84	high
Candidatus Korarchaeum cryptofilum	1590757	93.39	medium
Methylacidiphilum infernorum	2287145	98.65	high
Borrelia duttonii	1574881	100	high
Borrelia recurrentis	1242163	100	high
Methylobacterium radiotolerans	6899110	100	high
Polynucleobacter necessarius	1560469	92.78	high
Leptothrix cholodnii	4909403	100	high
Pyrobaculum neutrophilum	1769823	100	medium
Beijerinckia indica	4418616	99.55	high
Exiguobacterium sibiricum	3040786	100	high
Methylobacterium populi	5848997	99.69	high
Opitutus terrae	5957605	99.32	high
Natranaerobius thermophilus	3191453	98.31	high
Nostoc punctiforme	9059191	99.56	high
Paraburkholderia phymatum	8676562	99.09	high
Elusimicrobium minutum	1643562	96.63	high
Clostridium botulinum	3847969	100	high
Ralstonia pickettii	5325729	99.94	high
Akkermansia muciniphila	2664102	97.96	high
Anaplasma marginale	1202435	100	high
Desulfobacterium autotrophicum	5657782	99.35	high
Geobacter lovleyi	3994874	99.68	high
Chlorobium limicola	2763181	99.98	high
Halothermothrix orenii	2578146	99.12	high
Chlorobaculum parvum	2289249	98.89	high
Chloroherpeton thalassium	3293456	99.45	high
Chlorobium phaeobacteroides	2736403	99.45	high
Candidatus Amoebophilus asiaticus	1884364	81.31	medium
[Eubacterium] rectale	3449685	99.28	high
Prosthecochloris aestuarii	2579695	98.9	high
Pelodictyon phaeoclathratiforme	3018238	98.9	high
Deinococcus deserti	3855329	98.3	high
Geobacter bemidjiensis	4615150	99.78	high
Hydrogenobaculum sp. Y04AAS1	1559514	100	high
Desulfurococcus kamchatkensis	1365223	100	medium
Coprothermobacter proteolyticus	1424912	100	high
Dictyoglomus thermophilum	1959987	100	high
Thermodesulfovibrio yellowstonii	2003803	99.08	high
Laribacter hongkongensis	3169329	99.57	high
Azotobacter vinelandii	5365318	99.59	high
Thermosipho africanus	2016657	96.39	high
Gluconacetobacter diazotrophicus	3914947	100	high
Desulfovibrio vulgaris	4040304	99.7	high
Acidithiobacillus ferrooxidans	2982397	99.34	high
Sulfurihydrogenibium azorense	1640877	99.39	high
Persephonella marina	1983966	99.8	high
Dictyoglomus turgidum	1855560	100	high
Thermomicrobium roseum	2920744	98.13	high
Candidatus Hamiltonella defensa	2169363	98.91	high
Nautilia profundicola	1676444	99.59	high
Methylocella silvestris	4305430	99.37	high
Cyanothece sp. PCC 8801	4787694	99.56	high
Cyanothece sp. PCC 7424	6554169	99.71	high
Rhodobacter capsulatus	3871920	99.09	high
[Haemophilus] parasuis	2269156	99.47	high
Desulfatibacillum alkenivorans	6517073	99.35	high
Desulfitobacterium hafniense	5279134	98.98	high
Chloroflexus aggregans	4684931	99.69	high
Methanosphaerula palustris	2922917	99.84	medium
Thioalkalivibrio sulfidiphilus	3464554	99.88	high
Caulobacter vibrioides	4042929	99.68	high
Pseudarthrobacter chlorophenolicus	4980870	99.71	high
Cyanothece sp. PCC 7425	5786110	99.29	high
[Clostridium] cellulolyticum	4068724	99.32	high
Methylobacterium nodulans	8839022	99.84	high
Desulfovibrio desulfuricans	2873437	99.41	high
Anaeromyxobacter dehalogenans	5029329	99.35	high
Chloroflexus sp. Y-400-fl	5268950	99.69	high
Halorubrum lacusprofundi	3692576	99.76	high
Geobacter daltonii	4304501	99.35	high
Acidovorax ebreus	3796573	99.93	high
Caldicellulosiruptor bescii	2931662	100	high
Thermococcus gammatolerans	2045438	100	medium
Sulfolobus islandicus	2736272	99.4	medium
Sulfolobus islandicus	2608832	99.4	medium
Sulfolobus islandicus	2692402	99.4	medium
Sulfolobus islandicus	2586647	99.4	medium
Sulfolobus islandicus	2702058	99.4	medium
Sulfolobus islandicus	2854410	99.4	medium
Neorickettsia risticii	879977	99.26	high
Thermococcus sibiricus	1845800	98.51	medium
Acidobacterium capsulatum	4127356	100	high
Blattabacterium sp. (Blattella germanica)	640935	98.82	high
Bartonella grahamii	2369520	99.89	high
Edwardsiella ictaluri	3812301	99.25	high
Corynebacterium aurimucosum	2819226	99.56	high
Bifidobacterium animalis	1938483	100	high
Teredinibacter turnerae	5193164	100	high
Tolumonas auensis	3471292	100	high
Beutenbergia cavernae	4669183	99.71	high
Dyadobacter fermentans	6967790	99.7	high
Corynebacterium kroppenstedtii	2446804	97.86	high
Micrococcus luteus	2501097	98.25	high
Desulfomicrobium baculatum	3942657	99.96	high
Actinosynnema mirum	8248144	100	high
Acidimicrobium ferrooxidans	2158157	94.87	high
Capnocytophaga ochracea	2612925	100	high
Kosmotoga olearia	2302126	100	high
Brachybacterium faecium	3614992	100	high
Desulfovibrio salexigens	4289847	100	high
Zunongwangia profunda	5128187	99.62	high
Paenibacillus sp. JDR-2	7184930	99.73	high
Pectobacterium carotovorum	4862913	99.97	high
Methylotenera mobilis	2547570	99.57	high
Flavobacteriaceae bacterium 3519-10	2768102	100	high
Methylovorus glucosotrophus	3082007	99.57	high
Candidatus Liberibacter asiaticus	1227328	97.3	high
Hirschia baltica	3540114	99.57	high
Pedobacter heparinus	5167383	100	high
Cryptobacterium curtum	1617804	100	high
Saccharomonospora viridis	4308349	100	high
Slackia heliotrinireducens	3165038	100	high
Leptotrichia buccalis	2465610	100	high
Kytococcus sedentarius	2785024	94.68	high
Halorhabdus utahensis	3116795	98.25	high
Halomicrobium mukohataei	3332349	99.93	high
Methanocaldococcus fervens	1507251	99.52	high
Chitinophaga pinensis	9127347	99.51	high
Catenulispora acidiphila	10467782	99.74	high
Jonesia denitrificans	2749646	100	high
Kangiella koreensis	2852073	100	high
Anaerococcus prevotii	1998633	99.39	high
Robiginitalea biformata	3530383	99.01	high
Chlamydia pneumoniae	1248550	99.49	high
Candidatus Accumulibacter phosphatis	5306133	99.84	high
Methanobrevibacter ruminantium	2937203	99.14	medium
Desulfotomaculum acetoxidans	4545624	99.27	high
Atopobium parvulum	1543805	100	high
Eggerthella lenta	3632260	100	high
Alicyclobacillus acidocaldarius	3205686	99.21	high
Sulfolobus islandicus	2748647	99.4	medium
Desulfohalobium retbaense	2909567	100	high
Kribbella flavida	7579488	100	high
Nakamurella multipartita	6060298	99.93	high
Thermomonospora curvata	5639016	100	high
Sebaldella termitidis	4486650	100	high
Candidatus Puniceispirillum marinum	2753527	99.94	high
Anaplasma centrale	1206806	100	high
Spirosoma linguale	8491258	100	high
Stackebrandtia nassauensis	6841557	99.55	high
Streptobacillus moniliformis	1673280	98.88	high
Ammonifex degensii	2157067	95.84	high
Methanocaldococcus vulcanius	1761737	99.52	high
Fibrobacter succinogenes	3842635	100	high
Nitrosococcus halophilus	4145260	99.47	high
Sulfolobus solfataricus	2668974	100	medium
Halothiobacillus neapolitanus	2582886	100	high
Gordonia bronchialis	5290012	100	high
Haliangium ochraceum	9446314	98.39	high
Rhodothermus marinus	3386737	100	high
Streptosporangium roseum	10369518	99.29	high
Sulfurospirillum deleyianum	2306351	99.87	high
Thermanaerovibrio acidaminovorans	1848474	98.31	high
Sanguibacter keddieii	4253413	100	high
Veillonella parvula	2132142	100	high
Xylanimonas cellulosilytica	3831380	100	high
Sphaerobacter thermophilus	3993764	98.13	high
Thermobaculum terrenum	3101581	98.58	high
Dehalococcoides mccartyi	1413462	99.01	high
Staphylococcus lugdunensis	2658366	99.61	high
Thermotoga naphthophila	1809823	100	high
Candidatus Atelocyanobacterium thalassa	1443806	73.92	medium
Pirellula staleyi	6196199	98.78	high
Gardnerella vaginalis	1617545	99.93	high
Mageeibacillus indolicus	1809746	93.74	high
Conexibacter woesei	6359369	98.29	high
Archaeoglobus profundus	1563423	99.84	medium
Acidaminococcus fermentans	2329769	99.98	high
Haloterrigena turkmenica	5440782	99.49	high
Geodermatophilus obscurus	5322497	99.37	high
Pantoea ananatis	4703373	100	high
Allochromatium vinosum	3669074	99.74	high
Ferroglobus placidus	2196266	100	medium
Methanocaldococcus sp. FS406-22	1773136	99.52	high
Enterobacter cloacae	5598796	100	high
Dehalococcoides mccartyi	1360154	99.01	high
Thermocrinis albus	1500577	99.39	high
Natrialba magadii	4443643	99.17	high
Thermoanaerobacter italicus	2451061	99.52	high
Aciduliprofundum boonei	1486778	100	medium
Haloferax volcanii	4012900	99.57	high
Sideroxydans lithotrophicus	3003656	99.52	high
Denitrovibrio acetiphilus	3222077	98.22	high
Methanohalophilus mahii	2012424	99.35	high
Aminobacterium colombiense	1980592	100	high
Coraliomargarita akajimensis	3750771	99.77	high
Prevotella ruminicola	3619559	99.63	high
Desulfotalea psychrophila	3659634	97.29	high
Aromatoleum aromaticum	4727255	100	high
Ehrlichia ruminantium	1516355	100	high
Natronomonas pharaonis	2749696	99.29	high
Lactobacillus sakei	1884661	99.46	high
Pseudomonas entomophila	5888780	100	high
Herminiimonas arsenicoxydans	3424307	99.92	high
Candidatus Phytoplasma mali	601943	95.43	high
Escherichia coli	5358200	99.97	high
Escherichia coli	5132068	98.78	high
Leuconostoc citreum	1896614	99.89	high
Streptococcus suis	2170808	100	high
Listeria seeligeri	2797636	99.45	high
Streptococcus mitis	2146611	99.82	high
Xenorhabdus bovienii	4225498	100	high
Haemophilus influenzae	1830138	99.67	high
Candidatus Blochmannia floridanus	705557	98.37	high
Bartonella henselae	1931047	100	high
Chromohalobacter salexigens	3696649	99.14	high
Lawsonia intracellularis	1719014	93.49	high
Lactobacillus delbrueckii	1864998	98.38	high
Frankia alni	7497934	99.65	high
Gramella forsetii	3798465	99.62	high
Saccharopolyspora erythraea	8212805	100	high
Methanocella arvoryzae	3179916	100	medium
Synechococcus sp. WH 7803	2366980	99.18	high
Synechococcus sp. RCC307	2224914	99.64	high
Orientia tsutsugamushi	2127051	99.03	high
Clostridium botulinum	3903260	99.31	high
Flavobacterium psychrophilum	2860382	99.29	high
Sorangium cellulosum	13033779	94.19	medium
Bordetella petrii	5287950	100	high
Chlamydia trachomatis	1038842	98.92	high
Halobacterium salinarum	2668776	99.42	high
Mycobacterium abscessus	5090491	100	high
Clavibacter michiganensis	3403786	99.49	high
Cupriavidus taiwanensis	6476522	99.94	high
Candidatus Phytoplasma australiense	879959	98.55	high
Corynebacterium urealyticum	2369219	100	high
Proteus mirabilis	4099895	100	high
Stenotrophomonas maltophilia	4851126	100	high
Wolbachia endosymbiont of Culex quinquefasciatus	1482455	100	high
Buchnera aphidicola	422434	98.59	high
Chlamydia pneumoniae	1234385	99.49	high
Sphingobium japonicum	4424862	100	high
Candidatus Methylomirabilis oxyfera	2752854	96.26	high
Streptomyces scabiei	10148695	100	high
Shewanella violacea	4962103	99.84	high
Vibrio tasmaniensis	4974818	99.98	high
Thermus thermophilus	2116056	99.58	high
Erwinia amylovora	3833832	100	high
Methanocaldococcus jannaschii	1739927	99.52	high
Lactobacillus crispatus	2043161	99.03	high
Legionella longbeachae	4149158	100	high
Helicobacter mustelae	1578097	99.59	high
Agrobacterium fabrum	5674258	100	high
Rhizobium etli	6530228	99.94	high
Planctopirus limnophila	5460085	99.93	high
Meiothermus silvanus	3721669	99.79	high
Thermosphaera aggregans	1316595	98.73	medium
Desulfurivibrio alkaliphilus	3097763	99.4	high
Tsukamurella paurometabola	4479724	99.94	high
Arcobacter nitrofigilis	3192235	99.59	high
Moraxella catarrhalis	1863286	100	high
Methanocaldococcus infernus	1328194	99.05	high
Arcanobacterium haemolyticum	1986154	97.99	high
Streptomyces bingchenggensis	11936683	99.74	high
Syntrophothermus lipocalidus	2405559	98.81	high
Truepera radiovictrix	3260398	97.88	high
Staphylothermus hellenicus	1580347	99.37	medium
Leuconostoc kimchii	2101787	100	high
Leptospira interrogans	4698134	96.47	high
Thermobispora bispora	4189976	98.94	high
Waddlia chondrophila	2131905	97.47	high
Segniliparus rotundus	3157527	96.73	high
Brachyspira murdochii	3241804	99.2	high
Cellulomonas flavigena	4123179	100	high
Kyrpidia tusciae	3384766	95.01	high
Starkeya novella	4765023	100	high
Nocardiopsis dassonvillei	6543312	100	high
Methylotenera versatilis	3059871	99.57	high
Candidatus Riesia pediculicola	582127	93.33	high
[Bacillus] selenitireducens	3592487	99.34	high
Blattabacterium sp. (Periplaneta americana)	640442	97.62	high
